_id,codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel,vento_rajada,radiacao,precipitacao
ObjectId(58f3b7c40d77803ba6787f6e),A325,25/08/2016,10,24.9,24.9,23.4,58,65,58,16.2,16.5,16,991.4,991.4,990.8,1.4,104,7,522.6,0
ObjectId(58f3b7c40d77803ba6787f6f),A325,25/08/2016,9,23.4,23.4,23.2,65,69,65,16.5,17.3,16.5,990.8,990.8,990.2,1,86,6.8,18.18,0
ObjectId(58f3b7c40d77803ba6787f70),A325,25/08/2016,19,33.8,34.5,33.6,22,23,21,9.2,10.2,8.8,986.6,986.6,986.4,0.3,122,9.2,1602,0
ObjectId(58f3b7c40d77803ba6787f71),A325,25/08/2016,20,33.3,34.4,33,24,24,22,9.9,9.9,9.1,987,987,986.5,0.1,87,7,651.6,0
ObjectId(58f3b7c40d77803ba6787f72),A325,25/08/2016,18,34.1,34.5,33.2,23,23,21,9.8,10.1,8.6,986.5,986.9,986.5,0.9,130,9.2,2385,0
ObjectId(58f3b7c40d77803ba6787f73),A325,25/08/2016,14,30.6,31.3,29.5,28,31,27,9.8,11.1,9.4,990,991.1,990,2.5,149,8.2,3385,0
ObjectId(58f3b7c40d77803ba6787f74),A325,25/08/2016,7,23.3,23.7,23.2,74,75,74,18.3,18.8,18.3,989.5,989.5,989.1,0,79,4.9,-3.54,0
ObjectId(58f3b7c40d77803ba6787f75),A325,25/08/2016,5,23.8,24.2,23.8,75,75,73,19.1,19.2,19.1,989,989.1,988.9,0.1,71,6.4,-3.54,0
ObjectId(58f3b7c40d77803ba6787f76),A325,25/08/2016,15,32,32.5,30.5,24,28,22,8.7,10.6,7.3,988.9,990,988.9,0.9,87,8.5,3494,0
ObjectId(58f3b7c40d77803ba6787f77),A325,25/08/2016,21,32,33.4,32,26,26,24,10,10.1,9.8,987.6,987.6,987.1,0.2,98,6.9,62.04,0
ObjectId(58f3b7c40d77803ba6787f78),A325,25/08/2016,22,29.7,32,29.7,30,30,26,10.2,10.2,9.9,988.2,988.2,987.6,0,54,3.8,-3.54,0
ObjectId(58f3b7c40d77803ba6787f79),A325,25/08/2016,3,24.8,25.1,24.7,70,70,66,18.9,18.9,18.4,989,989.4,989,2,60,11.4,-3.54,0
ObjectId(58f3b7c40d77803ba6787f7a),A325,25/08/2016,11,26.5,26.8,24.9,46,58,46,14,16.3,14,991.8,991.8,991.3,1,125,8.6,1459,0
ObjectId(58f3b7c40d77803ba6787f7b),A325,25/08/2016,12,28.5,28.6,26.6,35,46,34,11.4,14.2,11,991.6,991.9,991.6,3.8,117,8.6,2283,0
ObjectId(58f3b7c40d77803ba6787f7c),A325,25/08/2016,6,23.7,23.9,23.7,74,75,74,18.8,19.1,18.8,989.1,989.1,988.9,0.3,67,5,-3.54,0
ObjectId(58f3b7c40d77803ba6787f7d),A325,25/08/2016,23,29.2,29.7,29.2,32,32,30,10.6,10.6,10.3,988.6,988.6,988.2,0,62,0,-3.54,0
ObjectId(58f3b7c40d77803ba6787f7e),A325,25/08/2016,13,29.8,30.2,28.2,30,35,30,10.6,11.4,10.1,991.1,991.7,991.1,2.3,111,8.6,2954,0
ObjectId(58f3b7c40d77803ba6787f7f),A325,25/08/2016,17,34.1,34.8,32.7,21,23,20,9,9.9,7.2,986.9,987.7,986.8,2,85,8.2,2981,0
ObjectId(58f3b7c40d77803ba6787f80),A325,26/08/2016,20,33.9,34.9,33.9,18,18,17,5.9,6.4,5.9,985.7,985.7,985.2,0,115,5.6,729.5,0
ObjectId(58f3b7c40d77803ba6787f81),A325,26/08/2016,13,30.3,30.8,28.2,32,42,31,11.6,14.4,11.1,990,990.4,989.9,1.9,137,9,2965,0
ObjectId(58f3b7c40d77803ba6787f82),A325,26/08/2016,21,32.1,33.9,32.1,20,20,18,6.3,6.4,5.9,986.3,986.3,985.7,0,87,1.4,46.09,0
ObjectId(58f3b7c40d77803ba6787f83),A325,26/08/2016,1,26.3,27.7,26.3,56,56,48,16.8,16.8,15.8,989.6,989.7,989.3,3.8,54,11.9,-3.54,0
ObjectId(58f3b7c40d77803ba6787f84),A325,26/08/2016,9,22.5,22.8,22.3,75,75,74,17.9,18.1,17.7,989.4,989.4,988.9,0,92,0,18.82,0
ObjectId(58f3b7c40d77803ba6787f85),A325,26/08/2016,15,33.3,33.4,31.7,23,25,23,9.2,9.6,8.4,987.5,988.9,987.5,0.5,148,8.8,3510,0
ObjectId(58f3b7c40d77803ba6787f86),A325,26/08/2016,22,29,32.1,29,24,24,20,6.4,6.5,6,986.8,986.8,986.3,0,48,1.4,-3.54,0
ObjectId(58f3b7c40d77803ba6787f87),A325,26/08/2016,18,34.7,35.1,33.9,17,18,17,6.4,7.1,6.2,985.3,985.5,985.3,0.5,109,7.3,2449,0
ObjectId(58f3b7c40d77803ba6787f88),A325,26/08/2016,4,24.3,24.8,24.3,74,74,71,19.5,19.5,19.1,988.4,988.7,988.4,3.6,64,10.2,-3.54,0
ObjectId(58f3b7c40d77803ba6787f89),A325,26/08/2016,5,23.9,24.3,23.9,76,76,74,19.5,19.5,19.4,988.4,988.5,988.4,0.1,79,8.1,-3.54,0
ObjectId(58f3b7c40d77803ba6787f8a),A325,26/08/2016,17,34.4,35,33.2,18,21,18,6.6,8.3,6.4,985.5,986.3,985.5,1.9,124,7.3,3027,0
ObjectId(58f3b7c40d77803ba6787f8b),A325,25/08/2016,1,26.1,27.5,26.1,57,57,48,16.9,16.9,15.5,989.1,989.2,989,3.8,54,10.2,-3.48,0
ObjectId(58f3b7c40d77803ba6787f8c),A325,26/08/2016,11,26.6,26.9,25.4,53,61,53,16.4,17.3,15.9,990.5,990.5,990.1,1.4,128,6.3,1460,0
ObjectId(58f3b7c40d77803ba6787f8d),A325,26/08/2016,19,34.4,35.2,34.4,17,18,17,6,6.7,5.9,985.3,985.3,985.2,0.4,123,6.7,1638,0
