data_hora,record,pressao_atm_max,pressao_atm_min,chuva_mm,temp_ar_max,temp_ar_min,umid_relat_max,umid_relat_min,rad_solar_total,temp_max,temp_min,temp_ar_media,umid_relat_media,vento_veloc,rad_solar_media,et0
'2016-08-19 23:00:00',22167,619.9939,599.7405,0,25646,24263,72808,54757,2058174,19.45469,15.88294,24.85423,65.81664,1.493403,5.71715,0.04019232
'2016-08-20 00:00:00',22168,620.3236,599.9237,0,24314,23762,84044,72762,2075246,20.94137,19.11942,24.0377,79.59452,1.307709,5.764572,0.02223035
'2016-08-20 01:00:00',22169,613.8278,599.9329,0,23832,23.26,88.41,84.07,2112087,21.32059,20.93662,23.59917,86.30676,0.8957638,5.866908,0.01219337
'2016-08-20 02:00:00',22170,619.8718,599.8168,0,23292,22689,90852,88382,2111332,21.50141,21.1058,23.0555,89.90263,0.08749999,5.864811,0.003516447
'2016-08-20 03:00:00',22171,620.3113,599.9268,0,22.78,22.57,92344,90808,2118713,21.46749,21.09695,22.6848,91.95872,0.1504861,5.885314,0.0037528
'2016-08-20 04:00:00',22172,620.2991,599.7985,0,22.71,22409,93625,92328,2149102,21.46742,21.26031,22.53582,93.02274,0.6827778,5.969727,0.006255121
'2016-08-20 05:00:00',22173,619.8474,599.6978,0,22.48,22027,94804,93.48,2190577,21.39976,21.15313,22.26885,94.10588,0.3678473,6.084936,0.004443515
'2016-08-20 06:00:00',22174,600.9463,599.8962,0,22068,21185,96938,94632,2176979,21.19525,20.53221,21.57516,95.80903,0,6.047163,0.002732264
'2016-08-20 07:00:00',22175,600.9341,599.8901,0,22368,20954,97605,95.76,2407244,21.69575,20.45742,21.3595,96.89065,0.0009722223,6.686789,0.005358528
'2016-08-20 08:00:00',22176,620.2411,599.8565,0,25676,22358,95796,75.17,3242667,22.22912,20.74361,23.77991,87.72706,0.2922917,9.007408,0.01068173
'2016-08-20 09:00:00',22177,620.2869,599.7375,0,28.31,25255,75054,55957,3990548,20.95117,18.60101,26.73984,65.53625,1.392777,11.08486,0.05577364
'2016-08-20 10:00:00',22178,619.9207,599.7009,0,30.35,28.2,57089,47615,4689.89,19.32198,17.81,29.56342,51.91897,1.62868,13.02747,0.09059516
'2016-08-20 11:00:00',22179,620.0549,599.7802,0,32.06,29708,51939,40439,5206007,19.00147,16.86656,31.27386,43.81716,2.212709,14.46113,0.1393557
'2016-08-20 12:00:00',22180,620.0825,599.8718,0,33718,31201,44049,36701,5467138,18.36081,16.45218,32.31989,40.54666,2.286319,15.18649,0.1541827
'2016-08-20 13:00:00',22181,620.4182,599.8107,0,34486,32449,41529,33822,5525812,18.52518,15.86341,33.63649,37.15055,2.246875,15.34948,0.1637167
'2016-08-20 14:00:00',22182,620116,599.8107,0,34945,33007,39783,33703,4595.17,18.21507,16.13397,34.07111,36.13486,2.067847,12.76436,0.1541718
'2016-08-20 15:00:00',22183,600.9402,599.8016,0,36.35,33736,36742,30191,4281288,17.53435,15.68013,34.69007,33.67038,1.882084,11.89247,0.1482089
'2016-08-20 16:00:00',22184,620.1649,599.8596,0,36062,34134,34935,28849,3809935,16.77467,14.69145,35.18425,30.95519,1.943473,10.58315,0.1583929
'2016-08-20 17:00:00',22185,600.9707,599.9084,0,35363,33787,33101,29566,3071366,16.09068,14.81133,34.73067,31.57425,1.584584,8.531572,0.1291084
'2016-08-20 18:00:00',22186,600.9524,599.7375,0,35164,32636,34876,31318,2345533,15.94373,14.82022,33.30619,33.66473,0.9379861,6.515371,0.07623913
'2016-08-20 19:00:00',22187,620.0794,599.7955,0,32636,31708,38531,34458,2177822,15.89474,14.91491,32.13287,36.03946,0.5731944,6.049506,0.04117927
'2016-08-20 20:00:00',22188,620.0671,599.7222,0,31759,28619,58281,38597,2172832,19.83679,15.92152,29.77613,53.74406,2.320834,6.035645,0.08281928
'2016-08-20 21:00:00',22189,620.0671,599765,0,28.63,26777,67.64,58304,2181795,20.30898,19.62909,27.50381,63.63524,2.218056,6.060542,0.05969894
'2016-08-20 22:00:00',22190,619.9695,599.7527,0,26777,25634,74486,67.73,2198691,20.77755,20.32194,26.1408,71.60568,2.13861,6.107474,0.04418334
'2016-08-20 23:00:00',22191,620.3236,599.7466,0,25634,24825,81012,74486,2240233,21.3611,20.76578,25.25687,77.37931,1.853749,6.22287,0.03178831
'2016-08-21 00:00:00',22192,619.8871,599.9237,0,24854,24334,84632,81044,2256106,21.67382,21.38605,24.54745,83.24122,1.297083,6.26696,0.01892732
'2016-08-21 01:00:00',22193,619.9451,599.7985,0,24394,24284,85365,84.6,2303594,21.73197,21.60922,24.34187,85.06893,1.859097,6.398872,0.02116191
'2016-08-21 02:00:00',22194,600.9432,599.9329,0,24464,24284,85344,84742,2359409,21.84915,21.60947,24.37832,85.01453,1.98,6.553915,0.02208367
'2016-08-21 03:00:00',22195,619.8993,599.7222,0,24504,24353,85504,80.91,2375501,21.85532,21.00846,24.43278,84.07552,2.092778,6.598613,0.02414616
'2016-08-21 04:00:00',22196,620.3816,599.7955,0,24594,24042,81508,79668,2472375,21.01422,20.55871,24.36095,80.57429,2.19118,6.867707,0.02980775
'2016-08-21 05:00:00',22197,600.9005,599.7253,0,24054,23592,81855,80848,2489688,20.58505,20.31454,23.83576,81.45637,1.928611,6.9158,0.02610843
'2016-08-21 06:00:00',22198,620.2778,599.8016,0,23632,23402,82646,81.46,2465106,20.37093,20.18473,23.49072,82.12679,1.505416,6.847517,0.0215416
'2016-08-21 07:00:00',22199,600.9097,599.9481,0,23762,23532,81773,80955,2488422,20.32582,20.23669,23.60392,81.55807,1.594931,6.912284,0.03197382
'2016-08-21 08:00:00',22200,619.8107,599.7344,0,24343,23502,82939,78441,2834046,20.49863,20.20215,23.99637,79.85047,2.007223,7.87235,0.04199662
'2016-08-21 09:00:00',22201,620293,599.7253,0,27239,23312,85234,69216,3686729,22.08394,20.45125,25.08354,78.84973,1.193542,10.24091,0.03206415
'2016-08-21 10:00:00',22202,620.3572,599.8596,0,27548,26238,71.59,64988,3636125,20.92199,20.15555,26.81955,68.68873,1.905416,10.10035,0.06481558
'2016-08-21 11:00:00',22203,619.9878,599.8779,0,29451,27046,66926,55.49,3992984,20.94965,19.49786,28.49887,60.95381,1.633542,11.09162,0.07278092
'2016-08-21 12:00:00',22204,600.9097,599.7436,0,30.4,29119,57193,52.33,3988598,20.28791,19.13209,29.63913,54.87035,1.353681,11.07944,0.07254267
'2016-08-21 13:00:00',22205,620.3877,599.8138,0,32857,29951,55234,43625,4751789,20.24977,18.5486,31.00297,49.40074,1.445278,13.19941,0.0883072
'2016-08-21 14:00:00',22206,619.9481,599.9023,0,33497,30.93,47.95,40659,4356615,19.67276,17.45468,31.98487,44.72583,1.112639,12.10171,0.07754358
'2016-08-21 15:00:00',22207,620.3724,599.7009,0,34794,31439,44183,37.05,4131942,18.70646,17.2559,32.85449,40.98489,1.280347,11.47762,0.09303707
'2016-08-21 16:00:00',22208,620.3877,599.6978,0,35433,32508,41617,35015,3965654,18.8407,16.90352,34.06573,37.70524,0.9846531,11.01571,0.07941964
'2016-08-21 17:00:00',22209,619.9969,599.9237,0,35453,33046,39018,34636,3354674,18.04888,16.6524,34.07198,36.74286,1.183403,9.318539,0.09268078
'2016-08-21 18:00:00',22210,600.9982,599.8687,0,33906,31.38,41773,36.82,2497.14,17.42387,16.52517,32.70127,38.86853,0.4784723,6.936499,0.03984007
'2016-08-21 19:00:00',22211,600.0854,599.7802,0,31388,28.2,51541,41632,2172521,17.37446,16.63536,29.83968,45.56918,0.001805556,6.034782,0.003284489
'2016-08-21 20:00:00',22212,620.0427,599.7802,0,28939,27858,59312,47105,2171802,19.21729,16.52109,28.45526,49.25508,0.2557639,6.032783,0.0163994
'2016-08-21 21:00:00',22213,620.0214,599.8565,0,27848,25897,69197,59438,2162142,19.86702,19.23646,26.69038,65.42575,2.176042,6.005949,0.05483528
'2016-08-21 22:00:00',22214,619.9817,599765,0,25878,24854,76812,69193,2175.5,20.5398,19.80387,25.28983,73.2804,1.965555,6.043056,0.03856427
'2016-08-21 23:00:00',22215,619.9359,599.7497,0,24854,24173,82695,76785,2193564,21.09813,20.51767,24.47312,80.08167,1.629444,6.093235,0.0254407
'2016-08-22 00:00:00',22216,620.3846,599.8657,0,24202,23792,85058,82722,2220738,21.18884,21.06804,24.00524,83.94445,1.777153,6.168716,0.02173098
'2016-08-22 01:00:00',22217,619.9115,599.7527,0,23832,23542,86.18,84978,2247.4,21.1778,21.07723,23.65034,85.74092,1.223194,6.242779,0.01546427
'2016-08-22 02:00:00',22218,620.3846,599.9054,0,23632,23402,86016,85117,2286045,21.14244,20.86392,23.55599,85.49636,1.597708,6.350124,0.01842303
