record,pressao_atm_max,pressao_atm_min,chuva_mm,temp_ar_max,temp_ar_min,umid_relat_max,umid_relat_min,rad_solar_total,temp_max,temp_min,temp_ar_media,umid_relat_media,vento_veloc,rad_solar_media,et0
23046,620.089,599.902,0,35.013,33.177,42.206,35.034,4161.08,18.8587,16.8318,34.1769,37.9258,1.91167,11.5585,0.139773
23047,620.098,599.808,0,35.683,33.687,39.267,32.154,3576.51,18.4874,16.1752,34.8659,34.7685,1.645,9.93474,0.128837
23048,619.976,599.713,0,36.232,35.074,36.087,30.593,2848.58,18.2236,15.7983,35.6021,32.3512,1.56722,7.91273,0.127614
23049,620.104,599.814,0,35.714,34.655,33.825,30.452,2269.31,16.5064,15.0578,35.1317,31.7547,1.3109,6.30365,0.107924
23050,619.972,599.78,0,34.853,32.796,34.375,31.416,1865.64,15.6643,14.9984,33.9191,32.8643,1.24896,5.18232,0.0991224
23051,601.206,599.75,0,32.818,28.978,55.774,34.302,1777.24,19.2729,15.0003,30.7591,47.0018,2.14514,4.93678,0.0918718
23052,620.083,599.744,0,28.978,27.208,62.1,55.833,1882.8,19.4377,19.2427,28.0914,59.0734,2.17799,5.23001,0.0670654
23053,620.388,599.826,0,27.208,25.496,72.16,62.095,1943.21,20.1532,19.2638,26.3788,66.5214,2.11375,5.3978,0.0515484
23054,619.924,599.869,0,25.506,24.535,76.462,72.218,2028.89,20.3326,20.097,24.912,75.0924,2.13861,5.63581,0.0374332
23055,620.375,599.872,0,24.535,24.093,79.83,76.426,2033.57,20.4282,20.1194,24.334,77.9493,1.64569,5.6488,0.027886
23056,620.339,599.829,0,24.132,23.893,82.578,79.826,2036.98,20.8006,20.409,23.9967,81.5377,1.8891,5.65827,0.0254708
23057,620.382,599.875,0,23.944,23.752,83.394,82.516,2038.31,20.8338,20.751,23.8375,83.0129,1.59389,5.66196,0.0211748
23058,620.421,599.933,0,23.832,23.532,84.502,83.117,2029.1,20.8374,20.727,23.7141,83.6226,1.70875,5.63639,0.0212805
23059,620.397,599.841,0,23.562,23.222,85.718,84.466,2026.21,20.8273,20.6904,23.3683,85.2372,1.73604,5.62835,0.0193386
23060,620.397,599.734,0,23.251,22.78,86.836,85.602,1980.3,20.7532,20.4354,23.0452,86.0564,1.15208,5.50083,0.014161
23061,620.287,599.768,0,22.83,22.47,87.566,86.113,1895.8,20.5653,20.1477,22.6465,87.0952,0.326111,5.26612,0.00608991
23062,619.826,599.765,0,23,22.57,86.058,81.203,1970.98,20.1777,19.4982,22.8617,82.4945,1.97153,5.47494,0.0239447
23063,620.287,599.857,0,23.912,22.87,81.422,76.172,2269.41,19.6407,19.3526,23.3083,79.0736,2.16812,6.30392,0.0442772
23064,620.299,599.844,0,25.948,23.912,76.336,62.856,2940.97,19.5214,18.052,24.8417,69.7101,2.65271,8.16935,0.0767153
23065,619.857,599.734,0,28.439,25.666,63.507,52.669,3330.6,18.5117,17.6295,27.1496,57.4404,2.92389,9.25166,0.120843
23066,619.997,599.753,0,30.24,28.108,54.443,47.965,3784.53,18.5743,17.4229,28.9726,51.1645,2.44868,10.5126,0.124627
23067,620.321,599.722,0,31.938,29.49,50.003,42.744,4205.5,18.6112,17.3316,30.3833,47.0585,2.38458,11.682,0.135984
23068,620.433,599.75,0,32.768,30.49,47.266,39.777,4418.41,18.7204,17.0812,31.8442,42.9977,2.0125,12.2734,0.130307
23069,620.067,599.734,0,34.455,31.7,43.404,37.249,4407.61,18.8031,17.0394,33.0984,39.9725,1.87611,12.2434,0.131579
23070,620.464,599.847,0,35.093,32.607,42.199,34.815,4148.83,19.1666,16.8535,33.961,37.7151,1.58521,11.5245,0.119109
23071,620.11,599.814,0,35.771,34.156,38.719,32.983,3559.66,18.7632,16.4904,35.0919,34.8875,1.35333,9.88794,0.108935
23072,619.957,599.756,0,36.091,35.035,35.011,30.56,2889.54,17.7513,15.575,35.549,32.8445,1.34771,8.0265,0.110948
23073,620.134,599.75,0,36.201,34.416,34.783,31.448,2310.19,17.2556,16.0145,35.2066,32.7788,1.11549,6.4172,0.0923209
23074,620.092,599.78,0,35.013,32.527,37.738,32.583,1876.3,16.9755,16.1556,33.866,35.2895,0.94743,5.21195,0.0747139
23075,620.043,599.811,0,32.628,29.228,52.79,37.203,1788.22,18.6305,16.0418,30.7739,46.4968,2.34146,4.96727,0.0983803
23076,620.397,599.747,0,29.208,27.348,60.605,52.72,1869.26,19.1555,18.5733,28.1935,57.1886,2.24979,5.19238,0.0717549
23077,619.921,599.82,0,27.358,25.447,70.67,60.535,1946.06,19.7817,18.9938,26.2687,66.2979,2.31076,5.40573,0.0546541
23078,620.388,599.841,0,25.447,24.625,77.523,70.668,2022.54,20.5082,19.7027,24.9496,74.2399,2.14903,5.61817,0.03881
23079,619.93,599.887,0,24.625,24.353,82.004,77.52,2038.98,21.2011,20.4352,24.4611,80.5941,1.9084,5.66383,0.0272295
23080,620.363,599.811,0,24.414,24.194,83.125,82.031,2057.74,21.2152,21.0978,24.2901,82.6631,1.86097,5.71594,0.0240389
23081,620.33,599.75,0,24.243,23.952,84.59,82.716,2040.52,21.2403,21.0645,24.1247,83.4701,2.01479,5.6681,0.0239703
23082,620.382,599.75,0,24.073,23.884,85.443,84.294,2033.27,21.3783,21.1784,24.0057,84.8678,1.53819,5.64797,0.0187419
23083,620.351,599.826,0,23.984,23.552,86.205,84.806,1976.22,21.3358,21.0964,23.8285,85.3113,1.20646,5.4895,0.0155709
23084,620.339,599.747,0,23.812,23.392,86.754,85.531,1922.35,21.2745,21.032,23.619,85.9799,0.663264,5.33988,0.0101164
23085,620.299,599.78,0,23.884,23.05,88.361,85.434,1899.11,21.3255,21.022,23.5521,86.6055,1.25,5.27531,0.0145144
23088,619.86,599.765,0,25.766,23.382,89.85,76.708,2617.84,22.1466,21.2208,24.539,84.3262,1.50556,7.27178,0.027561
23089,600.928,599.719,0,27.548,25.346,77.123,67.41,2854.56,21.6232,20.5854,26.124,73.5276,2.38465,7.92933,0.0640136
23090,620.369,599.817,0,30.51,26.867,67.945,53.343,3765.32,21.3864,19.5856,28.4687,61.6767,2.2866,10.4592,0.0931583
23091,620.336,599.792,0,32.258,29.201,56.559,46.607,4030.84,20.4688,18.776,30.6949,50.9585,1.9834,11.1968,0.109058
23092,620.046,599.811,0,32.878,30.779,50.689,43.885,4198.82,20.3582,18.6885,32.0517,46.8309,1.58076,11.6634,0.0998442
23093,620.351,599.811,0,34.755,32,47.316,38.982,4433.55,20.3742,18.4683,33.3138,42.9234,1.7916,12.3154,0.121263
23094,620.104,599.799,0,35.382,33.068,44.253,37.136,4111.85,19.5749,17.8581,34.0803,40.0967,1.69111,11.4218,0.121521
23095,620.083,599.704,0,36.162,34.037,40.666,33.263,3655.72,19.0782,16.9251,35.0988,36.0374,1.78472,10.1548,0.136369
23096,620.055,599.737,0,36.22,34.486,35.765,30.806,2700.26,17.9561,15.7856,35.5206,33.0278,1.47104,7.50074,0.119067
23097,621.169,599.722,0,36.123,34.774,34.712,31.126,2272.12,17.2673,15.5732,35.3968,32.6347,1.05257,6.31146,0.0880024
23098,619.988,599.734,0,35.125,32.857,36.154,31.689,1841.79,16.3913,15.6016,34.0946,33.8196,1.02368,5.11609,0.0819729
23099,620.116,599.75,0,32.857,31.13,45.425,35.556,1799.76,18.0618,15.501,32.1307,37.3598,0.321597,4.99933,0.0245943
23100,620.083,599.74,0,31.22,28.06,55.958,45.519,1817.56,18.7943,18.0766,29.5934,51.5809,2.50708,5.04879,0.0902418
23101,620.372,599.75,0,28.06,26.476,63.299,56.021,1856.66,18.9798,18.4719,27.1565,59.9382,1.83347,5.15739,0.0571125
23102,620.437,599.759,0,26.456,25.316,71.296,63.356,1928.46,19.7769,18.951,25.8584,68.0305,1.74125,5.35683,0.0428545
23103,619.966,599.826,0,25.326,24.625,78.484,71.298,2009.76,20.8553,19.7708,25.0262,75.0189,1.83097,5.58266,0.0342147
23104,619.884,599.756,0,24.835,24.664,81.789,78.48,2045.32,21.4571,20.6878,24.7484,81.0801,1.95812,5.68146,0.0272463
23105,620.351,599.933,0,24.915,24.535,82.523,81.3,2058.31,21.5501,21.3412,24.7339,81.822,1.97854,5.71753,0.0264087
23106,620.418,599.75,0,24.674,24.343,82.648,81.926,2037.59,21.481,21.1585,24.523,82.2023,1.85479,5.65997,0.024737
23107,620.287,599.841,0,24.362,23.972,85.324,82.676,2037.89,21.4391,21.1932,24.1529,84.3492,2.06257,5.66082,0.0231154
23108,620.336,599.722,0,24.112,23.912,86.262,84.73,2036.97,21.6328,21.3544,24.0194,85.4527,1.72063,5.65825,0.0193614
23109,620.321,599.734,0,24.034,23.612,90.102,86.117,1999.14,21.9899,21.5699,23.7523,88.8122,0.838333,5.55315,0.00989154
23110,600.879,599.78,0,23.952,23.782,87.328,85.914,1885.22,21.6805,21.399,23.8772,86.8091,1.51917,5.23673,0.0162731
23111,620.29,599.734,0,24.716,23.832,87.031,78.218,2260.25,21.6197,20.5095,24.1542,81.7235,2.43208,6.27847,0.0436196
23112,600.983,599.863,0,25.294,24.362,79.268,74.352,2528.63,20.719,20.2532,24.8879,76.4732,2.57993,7.02398,0.0588988
23113,620.363,599.829,0,25.455,24.613,76.592,73.871,2158.96,20.5208,20.1392,24.8571,75.6406,2.30465,5.9971,0.0549887
23114,600.901,599.811,0,26.498,25.496,74.107,68.222,2618.57,20.7691,19.9688,26.1131,70.816,2.56813,7.27381,0.0737519
